,ctx-lh-bankssts_1,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-medialorbitofrontal_1,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-parsopercularis_1,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-posteriorcingulate_1,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-cuneus_1,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-parsopercularis_1,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-pericalcarine_1,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-posteriorcingulate_1,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2
ctx-lh-middletemporal_2,,,,,,,,,,,,,,,,,,,,,,-0.05,0.085,-0.09,-0.038,-0.002,0.042,0.079,0.062,-0.053,0.074,0.063,0.044,-0.095,-0.044,-0.055,0.094,-0.007,-0.026,0.04,0.039,-0.041,0.12,0.05,0.008,-0.021,-0.081,-0.038,-0.172,-0.004,0.001,-0.07,0.039,0.033,-0.142,0.027,0.006,-0.063,-0.078,-0.009,-0.049,0.123,-0.007,0.023,-0.014,0.129,-0.17,0.086,0.031,0.047,0.017,0.056,-0.044,-0.186,-0.126,-0.029,-0.072,-0.039,-0.003,-0.072,-0.043,-0.084,0.083,0.022,0.065,-0.013,0.033,-0.026,-0.005,0.105,0.019,-0.01,0.111,0.078,0.074,-0.026,0.048,-0.11,0.126,0.049,0.027,0.022,-0.07,-0.115,-0.104,-0.202,0.013,-0.021,0.042,-0.041,0.068,0.035,0.042,0.016
ctx-lh-parahippocampal_1,,,,,,,,,,,,,,,,,,,,,,,-0.096,0.083,0.054,-0.043,0.137,-0.047,0.012,-0.043,0.038,-0.044,0.009,-0.049,-0.055,0.055,0.039,0.077,0.107,-0.017,0.045,-0.078,0.02,-0.01,-0.02,-0.122,-0.109,-0.016,0.022,-0.015,-0.123,-0.107,0.05,-0.068,0.156,-0.086,0.061,-0.041,0.065,0.201,0.008,0.036,-0.016,0.016,0.069,-0.021,-0.034,0.065,-0.062,0.004,0.016,0.056,-0.027,0.187,0.084,0.077,0.004,0.069,0.099,-0.138,0.058,-0.095,-0.078,0.088,0.224,0.03,0.081,-0.088,-0.121,0.072,-0.043,-0.017,-0.121,-0.045,0.116,0.069,0.093,0.133,0.075,0.175,0.091,-0.016,-0.272,-0.138,-0.081,-0.0,-0.01,0.018,-0.183,0.038,-0.047,0.107,-0.072,0.053
ctx-lh-paracentral_1,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.093,0.045,-0.073,-0.114,-0.044,-0.098,0.031,-0.091,-0.009,-0.103,0.013,0.034,-0.1,-0.039,0.002,0.022,-0.032,0.028,0.085,0.084,0.124,-0.015,-0.075,-0.157,-0.055,0.056,0.007,0.117,-0.036,0.041,0.204,0.057,0.154,0.071,0.158,0.078,-0.238,-0.035,-0.202,-0.072,0.128,-0.013,-0.086,0.067,-0.057,-0.062,-0.174,-0.246,-0.093,0.056,-0.049,-0.135,-0.183,-0.005,-0.044,0.064,0.128,-0.067,0.015,0.085,0.094,0.073,-0.045,-0.129,-0.147,-0.049,-0.01,-0.019,-0.141,-0.159,-0.022,0.006,0.001,0.027,-0.009,0.129,0.115,0.044,-0.11,-0.085,-0.182,0.0,0.069,0.171,0.017,0.04,0.088,0.095,0.048,0.088
ctx-lh-parsopercularis_1,,,,,,,,,,,,,,,,,,,,,,,,,0.073,-0.0,0.059,0.004,-0.05,0.072,0.06,0.183,-0.051,-0.02,-0.011,0.099,-0.096,-0.108,0.013,0.095,-0.002,0.03,-0.079,-0.087,0.01,0.039,-0.05,0.016,-0.057,-0.002,0.028,-0.063,0.044,0.017,-0.076,0.157,0.101,0.103,0.069,-0.12,0.034,0.007,-0.048,0.096,-0.081,-0.095,0.072,0.038,0.051,-0.054,0.033,-0.042,0.018,-0.083,-0.041,0.064,0.012,-0.017,-0.019,0.014,-0.073,0.069,0.051,-0.024,-0.089,-0.011,0.06,-0.036,-0.029,-0.051,-0.017,-0.066,-0.012,-0.12,0.038,-0.053,-0.05,0.037,-0.03,-0.124,0.003,0.149,0.055,-0.008,0.037,-0.033,0.089,0.007,-0.014,0.053,0.01,0.03,0.065,0.09
ctx-lh-parsorbitalis_1,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014,-0.036,0.086,0.1,0.057,0.072,0.148,0.158,0.021,0.156,-0.033,-0.0,-0.02,0.074,0.099,0.004,0.016,0.063,0.021,0.164,0.036,-0.025,-0.066,-0.009,0.127,0.162,-0.05,0.036,0.107,0.017,0.149,0.135,-0.036,-0.017,-0.072,-0.017,0.099,-0.047,0.104,-0.113,0.055,-0.174,0.005,0.053,0.059,-0.053,-0.121,-0.128,-0.077,-0.185,-0.119,-0.008,-0.008,-0.034,-0.056,-0.131,0.033,0.05,0.072,-0.025,0.059,-0.057,-0.049,0.078,0.045,0.03,0.054,0.132,-0.001,-0.028,-0.038,0.038,-0.086,0.132,0.001,0.103,0.122,-0.003,-0.088,-0.019,-0.071,0.127,-0.044,0.117,-0.108,0.057,0.075,0.15,0.127
ctx-lh-parstriangularis_1,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,-0.015,-0.009,0.009,0.12,0.138,0.02,0.035,0.013,-0.004,-0.059,0.009,-0.103,0.105,0.024,0.122,0.0,-0.014,0.1,-0.02,-0.121,-0.014,-0.034,0.043,0.043,-0.123,-0.051,0.124,-0.03,0.096,0.192,0.037,0.172,-0.097,0.054,0.069,-0.028,0.025,-0.043,-0.066,-0.064,0.053,0.017,-0.042,0.028,-0.115,0.031,-0.126,-0.055,-0.015,-0.03,-0.018,-0.019,-0.052,-0.075,-0.032,-0.025,0.072,-0.069,-0.009,0.015,-0.035,0.0,0.076,0.062,0.052,0.018,-0.021,0.04,0.054,0.042,0.015,0.135,-0.045,0.111,0.172,-0.014,-0.026,0.075,-0.158,0.083,-0.03,0.024,0.04,0.085,0.021,0.087,0.17
ctx-lh-pericalcarine_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,0.009,0.143,-0.155,0.013,0.042,0.124,0.025,-0.071,-0.214,-0.091,-0.049,-0.037,-0.092,0.003,-0.027,-0.024,-0.017,0.106,0.052,0.136,0.024,0.031,0.036,0.022,0.074,-0.024,-0.093,-0.116,-0.165,0.035,-0.043,-0.084,0.165,-0.163,0.117,0.17,-0.006,-0.057,0.121,-0.063,0.068,-0.134,0.11,0.088,0.132,-0.036,0.013,0.118,0.132,-0.078,0.061,0.142,0.021,0.073,-0.033,-0.007,-0.043,-0.012,-0.027,0.1,0.033,-0.154,0.095,0.072,0.034,-0.18,-0.159,-0.096,-0.109,-0.069,-0.043,-0.022,-0.025,-0.002,0.068,0.106,0.163,0.081,0.028,-0.004,-0.007,0.034,-0.085,-0.147,-0.105,-0.122
ctx-lh-postcentral_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,-0.115,-0.003,-0.121,0.049,-0.061,-0.009,-0.022,-0.032,0.011,0.019,0.006,-0.038,0.044,0.024,0.036,0.111,-0.018,-0.027,-0.151,-0.046,0.002,0.03,0.101,0.057,0.056,0.142,-0.057,0.044,0.065,0.114,-0.02,-0.161,0.038,-0.102,0.004,0.021,-0.032,-0.023,0.013,-0.08,-0.059,-0.062,-0.181,-0.055,-0.044,-0.014,-0.116,-0.119,0.047,-0.019,-0.017,0.049,-0.085,-0.044,0.009,0.027,0.062,0.02,-0.163,-0.137,-0.058,-0.032,-0.022,-0.183,-0.084,-0.014,-0.012,-0.009,0.001,-0.021,-0.034,0.035,-0.018,-0.164,-0.044,-0.107,0.017,0.015,0.091,0.016,0.047,0.049,0.069,-0.054,-0.012
ctx-lh-postcentral_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.177,0.007,-0.006,-0.023,-0.058,-0.053,0.086,-0.062,0.024,-0.09,-0.055,-0.038,0.066,-0.056,0.003,-0.029,0.017,0.017,-0.149,-0.05,-0.067,-0.001,0.05,0.047,0.07,0.026,-0.057,0.006,0.012,0.098,-0.051,-0.132,0.062,-0.1,-0.01,0.0,-0.075,-0.004,0.047,-0.037,-0.026,0.0,-0.166,-0.085,0.124,0.104,-0.097,-0.147,0.143,0.113,-0.001,0.019,-0.023,-0.046,0.013,0.073,0.029,0.063,-0.192,-0.073,-0.049,-0.063,-0.028,-0.024,-0.112,0.04,-0.022,-0.053,-0.011,-0.011,-0.003,0.024,-0.005,-0.032,-0.049,-0.086,-0.074,0.011,0.038,-0.002,0.098,0.112,0.039,-0.016,0.007
ctx-lh-postcentral_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,-0.133,-0.11,0.112,0.188,0.037,-0.126,-0.098,-0.104,-0.032,-0.144,-0.107,-0.092,-0.097,0.045,-0.077,-0.003,-0.078,0.022,-0.045,0.08,0.011,0.041,-0.023,0.041,0.189,0.186,-0.045,0.209,-0.065,-0.016,-0.004,-0.083,0.013,-0.061,-0.131,0.067,0.058,-0.117,-0.126,0.037,-0.094,-0.083,-0.026,-0.041,0.042,0.016,-0.099,-0.093,0.003,-0.07,-0.006,-0.066,0.132,0.014,0.002,0.147,-0.069,-0.125,-0.014,0.187,0.118,-0.084,-0.121,0.055,-0.201,-0.085,-0.07,-0.108,-0.018,0.137,0.152,-0.016,-0.063,0.004,-0.05,-0.034,0.103,0.049,0.063,0.082,0.14,0.239,0.184
ctx-lh-posteriorcingulate_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.016,0.131,-0.065,0.015,-0.05,0.04,-0.032,-0.049,-0.05,0.04,-0.035,0.061,-0.083,-0.032,0.006,0.012,0.136,0.179,0.015,0.026,-0.057,-0.013,0.021,-0.09,-0.023,0.163,-0.068,0.012,-0.035,-0.069,0.022,0.032,-0.008,-0.068,0.085,0.029,0.015,-0.068,-0.049,0.068,0.121,0.093,-0.015,-0.083,-0.061,-0.04,-0.037,-0.002,0.05,0.086,0.06,-0.055,0.074,0.004,-0.092,0.001,0.011,-0.067,0.024,0.067,0.01,-0.029,-0.131,0.077,-0.088,-0.055,-0.046,-0.117,-0.119,-0.042,-0.04,-0.09,0.014,0.255,0.127,0.072,-0.027,-0.099,-0.059,0.003,-0.04,-0.048
ctx-lh-precentral_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,-0.11,-0.047,-0.047,-0.184,-0.072,0.045,0.027,-0.04,0.005,0.049,0.074,0.168,0.032,-0.033,-0.146,-0.073,-0.013,0.043,0.107,-0.027,0.075,0.093,0.003,0.132,-0.001,0.153,0.015,-0.176,0.017,-0.103,0.015,-0.117,-0.163,-0.043,-0.027,-0.016,-0.117,-0.061,-0.09,0.004,0.108,0.013,-0.052,-0.15,-0.002,0.022,-0.003,-0.034,-0.05,-0.088,0.109,0.065,0.142,-0.006,-0.188,-0.167,-0.062,-0.091,-0.072,-0.133,-0.221,-0.052,-0.114,0.036,-0.006,-0.099,0.007,0.099,0.042,-0.012,-0.017,-0.122,-0.059,0.02,0.163,0.068,-0.04,0.083,0.029,-0.043,0.056
ctx-lh-precentral_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.131,-0.081,0.087,-0.131,0.007,-0.035,-0.052,-0.015,-0.03,-0.094,0.004,-0.097,-0.021,-0.049,-0.08,-0.066,-0.01,0.027,-0.025,0.013,0.062,0.036,-0.077,0.019,-0.001,0.121,-0.009,-0.073,0.051,-0.083,-0.035,-0.0,-0.134,-0.062,0.059,-0.093,-0.011,0.023,-0.079,-0.024,0.194,0.184,-0.066,-0.126,0.142,0.13,-0.032,0.021,-0.034,-0.045,0.027,0.141,0.046,0.047,-0.199,-0.07,-0.064,-0.123,-0.055,-0.016,-0.106,0.044,-0.043,-0.001,0.015,-0.056,0.006,-0.005,0.015,-0.051,-0.007,-0.02,-0.047,0.048,0.02,0.001,0.094,0.067,0.015,-0.034,0.038
ctx-lh-precentral_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,0.068,0.01,0.006,-0.066,-0.046,-0.207,-0.069,-0.162,-0.131,-0.11,-0.024,-0.108,-0.057,0.001,-0.114,-0.023,-0.046,0.1,-0.055,0.123,0.206,0.185,-0.053,0.215,-0.128,0.032,-0.107,-0.121,-0.026,-0.053,-0.184,-0.034,0.033,-0.061,-0.024,0.05,-0.032,-0.074,0.016,0.009,-0.008,-0.003,0.039,0.018,0.057,-0.049,0.014,-0.116,0.035,0.038,-0.001,0.117,0.076,-0.067,0.057,0.096,0.064,-0.131,-0.046,0.03,-0.024,-0.065,-0.042,-0.12,-0.085,0.019,0.055,-0.029,-0.065,0.038,-0.035,-0.009,0.031,0.013,0.186,0.006,0.203,0.215,0.218
ctx-lh-precentral_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007,-0.099,-0.021,-0.063,0.023,-0.043,0.028,-0.021,-0.042,-0.12,-0.015,-0.09,-0.06,0.077,-0.047,0.039,0.046,0.086,-0.036,0.05,0.198,0.088,0.032,0.183,-0.091,-0.008,-0.112,-0.108,0.02,-0.011,-0.185,0.055,-0.003,-0.034,-0.103,-0.043,-0.085,-0.047,-0.025,-0.04,0.004,-0.045,-0.067,-0.018,0.073,-0.03,-0.03,0.046,0.025,-0.012,-0.074,0.048,0.09,0.045,-0.046,-0.027,-0.031,-0.047,-0.119,-0.019,-0.085,-0.158,-0.004,-0.121,-0.039,-0.002,0.065,0.033,-0.097,0.051,0.02,0.044,0.051,0.022,0.085,-0.002,0.112,0.158,0.143
ctx-lh-precuneus_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.041,0.104,0.085,-0.005,-0.032,0.006,0.029,0.046,0.035,0.025,-0.038,0.012,-0.111,0.024,0.13,-0.019,-0.128,0.045,-0.102,0.099,0.079,0.119,0.155,-0.107,-0.076,-0.072,-0.056,0.124,-0.007,0.023,-0.196,-0.081,-0.055,-0.185,-0.034,-0.097,0.034,-0.025,-0.07,-0.055,-0.028,-0.063,0.048,0.091,0.015,-0.011,0.031,0.038,0.115,-0.096,0.048,-0.016,0.089,0.04,0.099,-0.008,-0.074,-0.002,0.117,0.18,0.049,0.059,0.084,0.075,-0.018,0.029,-0.047,-0.067,0.125,-0.047,0.11,0.051,-0.046,-0.065,0.028,-0.068,0.068
ctx-lh-precuneus_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.031,-0.07,0.037,-0.0,0.059,0.033,-0.123,-0.047,-0.007,-0.03,-0.036,0.003,-0.207,-0.034,0.013,-0.032,0.009,-0.262,-0.089,0.046,-0.091,0.084,-0.122,0.03,-0.068,-0.115,0.177,0.177,0.03,-0.018,0.056,0.055,-0.028,0.153,0.004,-0.007,0.08,-0.089,-0.22,0.072,0.056,0.0,0.16,-0.088,-0.099,-0.116,0.125,-0.018,-0.176,-0.13,-0.147,0.031,-0.017,-0.096,-0.176,0.023,0.114,0.127,0.074,0.103,0.18,0.089,-0.145,-0.074,-0.16,-0.007,-0.047,0.07,0.063,0.008,-0.186,-0.045,0.018,-0.033,-0.216,-0.157
ctx-lh-rostralanteriorcingulate_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.059,-0.038,0.044,-0.02,0.027,-0.083,0.095,0.052,0.123,0.084,0.09,0.038,-0.065,-0.095,-0.026,-0.059,-0.167,-0.057,0.066,-0.059,-0.128,0.098,0.024,0.117,0.035,-0.046,0.041,0.042,0.152,0.089,0.044,0.173,0.126,0.206,-0.005,0.001,0.057,-0.041,-0.024,0.008,-0.026,0.041,-0.007,-0.031,-0.074,0.017,-0.047,-0.09,-0.149,-0.117,-0.026,-0.028,-0.047,-0.066,0.055,-0.012,0.034,0.015,-0.109,0.066,-0.021,-0.129,0.029,0.025,-0.026,0.118,0.087,0.106,0.031,0.001,0.01,0.072,-0.078,-0.144,-0.037
ctx-lh-rostralmiddlefrontal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.047,0.077,0.007,0.061,-0.031,0.088,0.108,0.066,-0.001,-0.075,-0.036,-0.009,-0.057,-0.068,-0.062,-0.115,0.013,-0.066,0.011,0.025,0.017,-0.081,0.016,-0.09,-0.073,-0.044,-0.005,-0.192,0.028,0.035,-0.062,0.026,0.011,0.021,0.13,-0.009,0.063,-0.01,0.033,0.034,-0.074,0.082,-0.04,-0.026,0.013,-0.1,-0.039,-0.137,0.036,-0.121,-0.144,-0.077,0.046,-0.035,-0.001,0.007,0.125,0.075,-0.009,-0.005,-0.076,-0.025,0.12,0.193,0.098,-0.048,-0.096,-0.006,-0.031,-0.001,-0.086,-0.136,-0.127,0.01
ctx-lh-rostralmiddlefrontal_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.159,0.055,0.05,0.079,0.112,0.074,0.031,0.09,0.148,0.1,0.127,-0.085,0.04,0.013,0.029,0.159,0.071,0.058,-0.108,0.005,-0.065,-0.078,-0.048,-0.15,-0.141,0.078,-0.123,0.019,-0.108,0.015,0.006,0.073,0.068,0.06,-0.013,0.005,-0.054,0.016,0.082,-0.099,0.032,0.034,0.013,-0.1,0.008,-0.054,-0.086,0.029,-0.057,-0.084,-0.088,0.102,-0.08,-0.064,0.006,-0.036,0.001,0.016,-0.065,-0.034,0.067,0.156,0.161,0.086,0.09,0.091,0.01,0.088,-0.095,0.001,-0.139,-0.02,0.097
ctx-lh-rostralmiddlefrontal_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,0.08,-0.026,-0.01,0.069,0.084,0.061,-0.044,0.094,0.021,-0.062,-0.122,0.087,-0.121,-0.087,-0.016,-0.01,-0.116,-0.082,0.059,0.056,-0.01,0.021,-0.134,0.062,-0.002,-0.092,0.087,0.089,0.06,0.045,0.018,-0.014,0.096,0.021,0.0,-0.084,0.011,0.022,-0.094,0.037,-0.078,-0.091,-0.031,-0.042,-0.064,-0.209,-0.052,-0.047,-0.132,-0.159,0.023,0.118,-0.0,-0.049,0.053,0.005,0.101,-0.023,-0.147,-0.051,0.095,0.117,0.074,-0.077,0.037,-0.075,-0.023,-0.148,0.015,-0.186,-0.157,-0.07
ctx-lh-superiorfrontal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,-0.006,0.045,0.124,0.027,0.048,0.001,0.017,0.079,-0.055,-0.094,-0.065,-0.062,-0.011,0.1,-0.004,0.043,-0.076,0.052,0.046,0.027,0.014,-0.04,0.004,-0.075,0.058,-0.005,-0.069,0.025,0.001,0.002,-0.024,-0.027,0.04,0.004,-0.238,-0.108,-0.091,-0.073,-0.109,0.006,0.058,0.095,0.077,0.006,-0.111,-0.075,-0.001,0.018,-0.095,-0.071,-0.004,0.016,0.031,0.101,0.012,0.028,-0.037,-0.039,0.029,0.018,-0.07,0.003,-0.087,0.044,0.012,-0.002,-0.152,0.034,-0.028,-0.023,0.135
ctx-lh-superiorfrontal_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,-0.033,0.081,-0.034,0.065,-0.044,0.082,0.034,-0.1,-0.03,0.058,-0.159,-0.111,0.045,0.017,-0.106,-0.075,0.047,0.061,0.057,0.012,0.0,0.09,-0.054,0.123,0.078,0.058,0.092,0.028,0.086,-0.112,-0.006,0.011,0.006,-0.008,-0.021,0.017,0.073,-0.037,0.001,-0.008,0.097,0.002,-0.058,-0.132,-0.057,-0.066,-0.035,-0.178,-0.036,0.046,0.009,-0.017,0.029,-0.047,0.108,-0.012,-0.069,0.052,0.025,-0.076,-0.007,-0.071,0.094,-0.025,-0.012,0.005,0.01,-0.117,-0.073,0.013
ctx-lh-superiorfrontal_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,0.059,-0.059,0.019,0.055,0.076,0.006,-0.114,-0.041,0.134,-0.062,-0.121,0.05,0.089,0.003,-0.084,0.095,0.035,0.009,-0.069,-0.063,-0.03,-0.042,0.091,-0.044,0.042,0.049,-0.029,0.055,0.024,-0.035,0.006,0.034,0.06,0.07,0.009,0.099,-0.02,-0.005,-0.065,0.085,-0.011,-0.047,-0.151,-0.015,0.038,-0.034,-0.117,0.046,-0.006,0.037,0.031,0.098,-0.004,0.058,0.061,0.051,0.123,0.054,-0.033,-0.042,0.067,0.19,-0.016,-0.001,-0.012,0.174,-0.063,-0.062,0.022
ctx-lh-superiorfrontal_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,-0.037,-0.062,-0.082,-0.057,0.005,0.073,0.057,0.035,-0.052,-0.112,0.066,0.13,0.08,-0.062,-0.088,-0.171,-0.085,-0.001,-0.015,-0.156,0.009,-0.062,-0.078,-0.126,-0.009,-0.012,-0.038,0.078,0.083,-0.016,-0.085,0.034,0.084,0.097,0.014,0.032,0.057,-0.013,0.029,0.113,-0.029,-0.012,0.047,-0.114,-0.114,-0.086,0.111,-0.174,-0.049,-0.041,0.034,0.118,-0.035,0.031,0.083,0.199,0.093,-0.085,-0.033,-0.029,0.083,0.083,-0.015,0.148,0.098,-0.033,-0.059,0.071
ctx-lh-superiorparietal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033,-0.151,-0.031,-0.065,-0.014,0.146,-0.032,0.016,0.131,0.071,0.146,0.019,0.228,0.011,-0.15,0.015,-0.1,-0.145,0.093,-0.113,0.026,-0.092,-0.082,-0.118,-0.08,-0.141,-0.087,0.106,-0.014,-0.077,-0.1,0.032,-0.069,0.035,-0.031,-0.133,0.032,0.047,0.014,0.091,0.074,-0.05,-0.021,0.038,0.003,-0.011,0.047,-0.132,-0.049,0.1,0.04,0.124,0.051,0.082,0.12,0.016,0.006,-0.083,-0.15,-0.016,-0.069,0.138,0.024,-0.047,0.025,0.083,-0.002,0.108
ctx-lh-superiorparietal_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019,0.029,-0.078,-0.102,0.164,-0.079,-0.114,0.123,0.066,0.017,-0.055,0.175,0.097,-0.003,-0.031,-0.058,-0.153,0.104,-0.092,-0.072,-0.102,-0.027,-0.044,-0.073,-0.08,-0.141,0.099,0.106,-0.0,-0.04,0.093,-0.022,0.057,0.047,-0.098,-0.067,-0.032,0.022,-0.001,0.035,-0.002,-0.043,0.112,-0.06,-0.09,0.015,-0.11,0.037,0.118,0.068,0.226,0.103,0.12,0.047,0.008,0.024,0.014,-0.071,0.068,-0.044,0.071,-0.09,0.013,-0.085,0.027,-0.014,0.075
ctx-lh-superiorparietal_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,-0.094,-0.152,0.073,0.021,-0.106,0.187,-0.072,-0.035,-0.084,0.086,0.134,-0.031,-0.134,-0.015,-0.093,0.202,-0.032,-0.055,-0.163,-0.078,0.002,0.012,0.043,-0.107,0.132,0.169,0.02,0.01,0.12,0.088,-0.034,0.101,0.003,-0.155,-0.022,0.025,0.05,0.109,-0.077,-0.144,0.104,-0.055,-0.04,-0.114,-0.082,-0.02,0.205,0.054,0.218,0.1,0.162,0.024,0.013,-0.177,0.0,0.063,0.034,-0.073,0.008,-0.168,0.092,-0.122,0.093,-0.103,-0.035
ctx-lh-superiortemporal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.232,0.052,0.015,-0.099,-0.053,0.063,0.043,0.049,-0.178,0.144,-0.053,-0.08,0.026,-0.007,0.003,-0.046,-0.054,0.039,0.051,0.085,-0.088,0.052,0.059,0.071,0.042,-0.018,-0.037,-0.084,-0.081,-0.146,-0.057,-0.14,0.042,-0.056,0.149,-0.072,0.095,0.042,-0.054,-0.075,0.067,0.04,0.021,-0.103,-0.032,0.071,0.063,-0.01,0.018,-0.063,0.011,0.096,0.096,-0.022,0.015,0.082,-0.212,-0.246,0.025,-0.025,-0.03,-0.115,0.066,0.044,0.095
