,ctx-lh-bankssts_1,ctx-lh-caudalanteriorcingulate_1,ctx-lh-caudalmiddlefrontal_1,ctx-lh-cuneus_1,ctx-lh-entorhinal_1,ctx-lh-fusiform_1,ctx-lh-fusiform_2,ctx-lh-inferiorparietal_1,ctx-lh-inferiorparietal_2,ctx-lh-inferiortemporal_1,ctx-lh-inferiortemporal_2,ctx-lh-isthmuscingulate_1,ctx-lh-lateraloccipital_1,ctx-lh-lateraloccipital_2,ctx-lh-lateralorbitofrontal_1,ctx-lh-lateralorbitofrontal_2,ctx-lh-lingual_1,ctx-lh-lingual_2,ctx-lh-medialorbitofrontal_1,ctx-lh-middletemporal_1,ctx-lh-middletemporal_2,ctx-lh-parahippocampal_1,ctx-lh-paracentral_1,ctx-lh-parsopercularis_1,ctx-lh-parsorbitalis_1,ctx-lh-parstriangularis_1,ctx-lh-pericalcarine_1,ctx-lh-postcentral_1,ctx-lh-postcentral_2,ctx-lh-postcentral_3,ctx-lh-posteriorcingulate_1,ctx-lh-precentral_1,ctx-lh-precentral_2,ctx-lh-precentral_3,ctx-lh-precentral_4,ctx-lh-precuneus_1,ctx-lh-precuneus_2,ctx-lh-rostralanteriorcingulate_1,ctx-lh-rostralmiddlefrontal_1,ctx-lh-rostralmiddlefrontal_2,ctx-lh-rostralmiddlefrontal_3,ctx-lh-superiorfrontal_1,ctx-lh-superiorfrontal_2,ctx-lh-superiorfrontal_3,ctx-lh-superiorfrontal_4,ctx-lh-superiorparietal_1,ctx-lh-superiorparietal_2,ctx-lh-superiorparietal_3,ctx-lh-superiortemporal_1,ctx-lh-superiortemporal_2,ctx-lh-supramarginal_1,ctx-lh-supramarginal_2,ctx-lh-frontalpole_1,ctx-lh-temporalpole_1,ctx-lh-transversetemporal_1,ctx-lh-insula_1,ctx-lh-insula_2,ctx-rh-bankssts_1,ctx-rh-caudalanteriorcingulate_1,ctx-rh-caudalmiddlefrontal_1,ctx-rh-cuneus_1,ctx-rh-entorhinal_1,ctx-rh-fusiform_1,ctx-rh-fusiform_2,ctx-rh-inferiorparietal_1,ctx-rh-inferiorparietal_2,ctx-rh-inferiorparietal_3,ctx-rh-inferiortemporal_1,ctx-rh-inferiortemporal_2,ctx-rh-isthmuscingulate_1,ctx-rh-lateraloccipital_1,ctx-rh-lateraloccipital_2,ctx-rh-lateraloccipital_3,ctx-rh-lateralorbitofrontal_1,ctx-rh-lateralorbitofrontal_2,ctx-rh-lingual_1,ctx-rh-lingual_2,ctx-rh-medialorbitofrontal_1,ctx-rh-medialorbitofrontal_2,ctx-rh-middletemporal_1,ctx-rh-middletemporal_2,ctx-rh-parahippocampal_1,ctx-rh-paracentral_1,ctx-rh-parsopercularis_1,ctx-rh-parsorbitalis_1,ctx-rh-parstriangularis_1,ctx-rh-pericalcarine_1,ctx-rh-postcentral_1,ctx-rh-postcentral_2,ctx-rh-posteriorcingulate_1,ctx-rh-precentral_1,ctx-rh-precentral_2,ctx-rh-precentral_3,ctx-rh-precuneus_1,ctx-rh-precuneus_2,ctx-rh-rostralanteriorcingulate_1,ctx-rh-rostralmiddlefrontal_1,ctx-rh-rostralmiddlefrontal_2,ctx-rh-superiorfrontal_1,ctx-rh-superiorfrontal_2,ctx-rh-superiorfrontal_3,ctx-rh-superiorfrontal_4,ctx-rh-superiorparietal_1,ctx-rh-superiorparietal_2,ctx-rh-superiorparietal_3,ctx-rh-superiortemporal_1,ctx-rh-superiortemporal_2,ctx-rh-supramarginal_1,ctx-rh-supramarginal_2,ctx-rh-frontalpole_1,ctx-rh-temporalpole_1,ctx-rh-transversetemporal_1,ctx-rh-insula_1,ctx-rh-insula_2
ctx-lh-parahippocampal_1,,,,,,,,,,,,,,,,,,,,,,,0.019,-0.053,0.038,0.005,-0.082,0.086,-0.01,0.04,0.074,0.039,-0.02,0.017,-0.006,0.017,-0.072,0.011,0.065,0.061,0.136,-0.006,0.049,0.034,0.079,0.031,0.043,0.008,0.076,0.059,-0.117,0.004,0.075,-0.064,0.056,0.056,-0.081,0.051,0.033,-0.117,-0.086,0.006,-0.038,0.029,-0.009,-0.026,-0.04,-0.007,-0.005,-0.004,0.033,0.1,0.027,0.042,-0.059,-0.029,-0.053,0.078,0.009,-0.081,0.093,-0.101,0.116,-0.124,0.044,-0.166,-0.089,0.004,0.04,0.04,0.03,-0.028,0.071,-0.101,-0.087,-0.008,-0.053,0.102,0.027,-0.069,0.007,-0.029,0.01,-0.038,-0.026,0.066,0.07,-0.102,-0.06,-0.102,0.013,0.114,-0.021,-0.114
ctx-lh-paracentral_1,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.027,0.096,-0.024,0.037,0.026,-0.015,-0.033,0.001,-0.007,-0.045,-0.006,0.036,-0.033,-0.12,-0.006,0.035,0.02,-0.072,-0.005,-0.02,-0.089,0.003,0.049,-0.027,-0.02,0.04,-0.028,0.106,-0.075,0.025,-0.032,0.06,-0.009,-0.026,0.005,0.08,-0.021,-0.077,-0.061,0.026,0.053,0.041,-0.127,-0.059,-0.055,0.016,-0.02,0.025,-0.069,-0.094,-0.124,0.021,-0.032,-0.102,-0.045,-0.057,0.044,-0.043,0.007,0.076,0.086,0.031,-0.027,-0.007,0.01,0.009,-0.03,-0.062,0.02,-0.042,0.02,-0.097,0.018,-0.112,-0.077,0.012,0.078,-0.046,-0.031,0.009,-0.061,-0.043,-0.032,0.034,-0.055,-0.029,0.051,-0.095,0.052,-0.058
ctx-lh-parsopercularis_1,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,-0.061,-0.021,0.046,0.108,0.0,0.041,-0.001,0.043,-0.066,-0.06,0.007,0.022,0.02,0.111,0.118,0.14,0.094,-0.023,0.008,-0.114,0.02,-0.033,0.015,-0.135,-0.094,0.014,0.004,-0.008,-0.047,-0.111,-0.031,-0.024,-0.063,-0.053,0.064,-0.017,-0.146,-0.002,-0.048,0.059,-0.02,0.008,-0.12,-0.044,0.011,-0.037,0.072,0.015,0.052,0.078,-0.051,-0.082,0.066,-0.007,-0.024,-0.041,-0.142,-0.019,-0.07,0.03,-0.05,-0.028,-0.055,0.009,0.063,-0.089,-0.104,-0.042,-0.005,0.064,0.076,0.171,0.22,0.165,0.158,-0.147,0.002,-0.056,-0.008,-0.064,-0.121,-0.111,0.029,-0.045,0.053,-0.115,-0.148,-0.116,-0.054
ctx-lh-parsorbitalis_1,,,,,,,,,,,,,,,,,,,,,,,,,,-0.085,0.025,0.03,0.094,0.013,0.011,0.098,0.132,-0.026,0.032,0.073,0.045,0.032,0.025,0.038,0.003,0.028,0.017,-0.006,0.015,0.037,-0.079,0.051,-0.097,-0.059,0.058,-0.1,-0.033,-0.007,-0.057,0.105,0.015,-0.078,-0.039,-0.012,0.137,-0.067,0.055,0.04,-0.102,-0.016,-0.06,-0.069,-0.005,0.013,0.008,0.043,0.022,0.005,0.015,-0.007,0.021,0.063,0.06,-0.047,-0.001,0.075,0.04,-0.044,0.11,-0.047,0.054,-0.069,-0.056,0.007,-0.046,-0.096,0.049,0.067,0.06,0.068,-0.033,0.114,0.101,0.024,-0.053,0.044,-0.024,-0.064,0.051,-0.093,-0.076,-0.053,0.042,-0.028,-0.064,-0.043,-0.003,-0.014
ctx-lh-parstriangularis_1,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,0.116,0.152,0.068,0.041,0.086,0.107,0.009,0.083,0.071,0.038,0.056,0.003,0.073,0.054,0.026,-0.066,-0.076,0.027,0.088,-0.053,-0.019,-0.077,-0.05,0.109,-0.148,-0.013,-0.02,-0.145,0.049,0.022,-0.045,-0.005,-0.005,0.045,-0.092,0.056,0.016,-0.047,-0.099,-0.029,-0.125,0.035,0.026,-0.087,0.058,0.042,0.039,0.084,-0.02,-0.027,0.05,-0.003,-0.09,-0.068,0.015,0.024,-0.06,-0.026,-0.045,0.002,0.018,0.096,0.034,0.045,-0.046,0.074,0.063,0.03,0.096,0.058,0.181,0.118,0.048,-0.054,0.042,0.064,0.006,-0.048,-0.099,-0.044,0.034,0.062,-0.019,-0.141,-0.157,-0.03,0.027
ctx-lh-pericalcarine_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,-0.016,-0.022,0.03,-0.064,-0.006,-0.037,-0.024,0.003,-0.012,0.043,-0.016,0.079,0.001,0.083,0.046,0.037,-0.004,0.031,0.026,0.084,-0.018,-0.078,-0.015,0.02,0.119,0.007,-0.055,-0.095,-0.003,-0.033,-0.022,-0.01,0.038,0.151,0.046,-0.065,0.125,0.08,0.096,0.103,-0.009,-0.046,0.089,-0.067,0.061,0.077,0.095,-0.043,0.012,0.033,-0.008,0.021,0.002,-0.022,-0.035,-0.087,0.014,-0.109,0.011,-0.062,-0.045,0.098,-0.004,0.025,-0.029,0.023,0.053,0.048,0.052,-0.001,0.04,0.029,0.034,-0.019,-0.007,0.06,0.097,-0.028,-0.01,0.007,-0.03,0.125,0.15,-0.079,-0.104,0.021
ctx-lh-postcentral_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103,0.051,-0.092,0.055,0.026,-0.02,0.062,-0.018,-0.083,-0.114,-0.029,-0.03,-0.029,-0.137,-0.048,-0.004,0.018,0.106,0.131,0.009,0.016,0.138,0.069,0.056,0.018,-0.009,-0.066,0.072,0.01,0.035,0.005,0.047,-0.054,-0.076,-0.003,0.08,-0.045,-0.003,-0.034,-0.119,-0.013,-0.011,-0.03,-0.05,-0.039,-0.005,-0.036,-0.013,0.023,-0.132,0.005,-0.078,0.011,0.023,0.047,0.102,0.06,0.024,-0.049,0.036,0.05,-0.026,0.066,-0.009,0.079,-0.004,-0.026,-0.095,0.012,-0.135,-0.112,-0.062,0.068,0.013,0.071,0.11,0.011,0.026,0.018,0.011,-0.01,0.044,0.07,-0.051,0.061,-0.013
ctx-lh-postcentral_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005,-0.153,0.009,0.011,0.026,0.02,-0.042,-0.127,-0.077,0.072,0.026,0.059,-0.06,0.024,0.011,-0.079,-0.047,0.054,-0.032,0.021,0.081,-0.051,0.037,0.057,0.06,0.026,0.036,0.005,0.043,-0.003,0.073,-0.022,-0.052,0.024,-0.045,-0.073,-0.052,-0.101,-0.156,-0.048,-0.111,0.015,0.021,-0.068,-0.006,-0.008,0.031,-0.052,-0.12,0.035,-0.096,-0.033,-0.103,0.04,0.117,0.085,0.013,-0.011,0.022,0.051,-0.065,0.016,0.035,0.11,-0.141,-0.045,-0.142,0.05,-0.038,-0.098,-0.045,0.076,-0.03,-0.065,-0.05,-0.045,-0.017,0.039,-0.146,-0.114,0.066,-0.021,-0.011,0.041,-0.053
ctx-lh-postcentral_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.149,-0.074,-0.011,0.068,0.053,0.007,-0.035,-0.106,0.078,-0.002,0.055,-0.083,-0.055,-0.052,-0.136,-0.004,0.083,0.042,-0.016,0.02,-0.082,-0.035,0.034,0.011,-0.03,-0.009,0.025,-0.019,0.039,0.152,0.037,-0.037,0.087,0.008,-0.037,-0.043,-0.001,-0.046,0.033,-0.028,0.096,0.086,-0.004,-0.02,-0.034,0.091,-0.021,-0.14,-0.048,-0.114,-0.039,-0.036,-0.046,0.113,0.038,0.041,-0.005,-0.02,-0.05,-0.024,0.001,-0.01,0.049,-0.037,0.047,-0.129,0.085,-0.023,-0.08,-0.063,0.006,0.042,-0.077,0.04,0.008,-0.046,0.033,-0.066,-0.148,0.003,0.037,-0.065,0.066,-0.018
ctx-lh-posteriorcingulate_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.049,-0.095,-0.072,-0.14,0.013,0.008,0.08,-0.058,-0.086,-0.079,0.044,0.06,0.06,-0.109,-0.156,-0.02,0.118,-0.11,0.057,-0.145,0.001,0.035,0.059,-0.048,-0.037,-0.121,-0.034,-0.091,0.013,0.081,-0.014,0.067,0.072,-0.004,0.062,0.038,0.07,-0.026,0.059,0.042,0.045,0.029,-0.105,-0.086,0.051,0.042,0.059,0.034,0.047,0.054,0.003,-0.058,-0.065,0.06,-0.029,0.069,-0.08,-0.13,-0.135,-0.119,-0.176,-0.078,0.015,-0.033,0.014,-0.109,-0.124,0.037,-0.002,-0.133,-0.141,-0.174,0.008,0.054,-0.009,0.022,-0.113,-0.181,-0.059,0.058,-0.041,-0.075,-0.129
ctx-lh-precentral_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.058,-0.084,0.035,-0.046,-0.059,0.028,0.04,0.101,0.022,0.041,0.029,-0.084,0.002,0.038,-0.072,-0.045,0.07,-0.091,0.056,0.004,0.057,-0.086,-0.005,-0.034,-0.029,-0.0,0.099,-0.067,-0.128,-0.049,-0.027,0.04,0.079,-0.043,-0.093,-0.076,0.009,-0.045,-0.008,-0.085,-0.066,-0.038,-0.034,-0.071,-0.08,0.016,0.018,0.089,-0.107,0.015,0.022,0.097,0.055,-0.077,-0.049,-0.017,0.035,-0.083,-0.088,0.011,-0.037,0.027,-0.046,0.043,-0.001,0.042,0.081,0.075,0.004,-0.037,0.017,-0.073,-0.049,-0.009,-0.024,-0.107,0.027,0.019,-0.069,-0.052,-0.125
ctx-lh-precentral_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006,-0.014,0.044,-0.064,-0.05,0.077,0.032,0.107,-0.07,-0.029,-0.049,-0.051,-0.007,0.081,-0.021,-0.09,0.037,-0.034,0.028,0.03,0.074,-0.05,-0.011,-0.039,-0.037,-0.008,0.102,-0.049,-0.136,-0.045,-0.107,-0.052,0.019,-0.093,-0.16,-0.005,-0.099,-0.016,-0.029,-0.08,0.009,0.047,-0.006,-0.07,-0.08,0.07,-0.062,-0.006,-0.113,0.024,0.043,0.109,0.02,-0.011,-0.023,0.038,-0.008,-0.078,-0.064,0.066,-0.099,0.04,-0.056,0.1,0.061,-0.067,-0.014,0.066,0.006,0.037,0.038,-0.038,-0.09,0.004,-0.099,-0.108,0.044,-0.039,-0.129,-0.062,-0.049
ctx-lh-precentral_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,0.078,0.001,-0.083,0.077,0.042,0.038,-0.039,-0.104,-0.12,-0.108,0.058,0.028,-0.026,-0.064,-0.057,-0.014,-0.054,-0.07,0.063,-0.008,-0.03,-0.012,-0.12,0.027,0.115,-0.023,-0.088,-0.022,-0.051,-0.031,0.005,-0.014,-0.141,0.027,-0.062,-0.033,-0.023,-0.012,0.044,0.11,-0.049,-0.035,-0.062,-0.092,-0.095,-0.063,-0.027,-0.05,0.058,0.061,0.067,-0.025,0.005,-0.013,0.004,0.045,0.001,0.029,-0.01,0.07,-0.036,0.156,0.137,-0.032,0.0,0.037,0.093,0.066,0.076,-0.03,-0.106,-0.047,-0.049,-0.037,0.044,-0.013,-0.046,-0.011,0.012
ctx-lh-precentral_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,-0.018,-0.087,-0.002,-0.077,0.054,-0.015,-0.037,-0.065,-0.137,0.034,0.03,0.007,-0.071,-0.035,-0.055,-0.103,0.008,-0.06,-0.107,-0.063,-0.054,-0.031,0.018,0.098,-0.006,-0.071,0.058,-0.011,-0.022,0.011,0.061,-0.035,0.037,0.035,0.065,0.113,0.047,-0.014,0.026,0.028,-0.062,0.026,0.048,-0.064,0.024,-0.057,-0.062,0.02,0.036,0.029,0.014,-0.034,0.041,-0.055,-0.066,-0.069,0.027,0.018,0.025,-0.051,0.067,0.073,0.058,0.065,-0.021,-0.035,-0.028,0.066,-0.006,-0.092,-0.04,-0.073,-0.124,0.11,-0.027,-0.163,-0.075,-0.041
ctx-lh-precuneus_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.133,-0.015,-0.052,-0.03,0.129,0.101,0.052,0.091,-0.027,-0.036,0.004,0.008,0.135,-0.035,-0.001,0.018,0.14,0.002,-0.012,0.046,0.128,0.072,-0.124,-0.016,-0.058,-0.02,0.054,0.042,-0.048,-0.011,0.112,-0.124,0.128,-0.031,-0.037,-0.01,-0.002,-0.065,-0.055,0.059,-0.005,0.011,0.06,0.118,0.009,0.022,-0.02,0.078,-0.014,-0.034,0.037,0.017,-0.066,0.018,0.038,-0.001,0.128,-0.153,0.052,-0.124,-0.186,0.034,-0.046,0.087,-0.101,-0.085,-0.072,-0.031,0.065,0.131,-0.087,0.059,-0.113,0.099,0.013,0.02,-0.0
ctx-lh-precuneus_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.052,0.043,0.036,-0.016,0.061,0.073,-0.012,-0.092,-0.029,0.112,0.086,0.041,-0.022,0.017,-0.007,0.139,0.025,-0.013,0.019,0.032,0.004,-0.198,-0.056,0.014,0.007,-0.074,-0.018,-0.079,-0.041,-0.021,-0.023,0.0,0.159,0.102,0.051,-0.135,-0.043,-0.012,-0.024,-0.015,-0.043,-0.05,-0.027,-0.103,0.033,-0.108,-0.014,-0.075,0.01,0.043,-0.038,-0.078,0.073,0.062,-0.057,-0.06,-0.083,-0.049,-0.141,-0.117,-0.069,-0.176,-0.047,-0.138,-0.105,-0.068,0.029,0.033,0.081,-0.06,0.038,-0.053,0.072,0.072,0.038,-0.032
ctx-lh-rostralanteriorcingulate_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.066,0.082,0.03,0.023,0.048,-0.02,-0.016,0.034,0.072,0.002,-0.008,-0.01,-0.072,-0.076,-0.054,-0.045,0.016,-0.003,-0.009,0.045,-0.018,0.041,0.005,0.001,0.037,-0.144,-0.122,-0.024,-0.013,-0.07,-0.021,0.02,0.12,0.054,-0.056,-0.096,0.022,0.042,-0.113,-0.057,0.02,-0.106,0.053,-0.102,-0.021,-0.032,0.065,0.063,-0.065,-0.12,-0.056,-0.022,-0.076,-0.099,-0.044,-0.003,0.035,0.026,-0.001,-0.005,-0.116,-0.035,-0.065,-0.093,-0.025,-0.017,0.04,0.046,-0.01,0.001,-0.124,-0.047,-0.052,-0.051,0.028
ctx-lh-rostralmiddlefrontal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.054,0.067,0.089,0.048,0.089,0.018,-0.107,-0.022,0.004,0.005,0.107,-0.001,-0.062,-0.001,0.039,-0.01,0.04,0.03,-0.073,-0.05,-0.069,0.003,-0.1,-0.025,-0.006,-0.077,-0.084,-0.019,-0.062,-0.058,0.03,-0.055,-0.053,-0.012,0.093,0.044,-0.112,-0.014,0.076,0.125,0.028,0.001,-0.021,-0.113,-0.025,0.03,0.062,-0.015,-0.014,0.029,-0.136,-0.006,-0.01,-0.047,0.066,-0.052,0.083,-0.027,-0.006,0.125,0.072,-0.052,-0.087,-0.086,-0.031,-0.022,-0.005,0.026,-0.117,-0.065,-0.052,-0.044,-0.038,-0.018,0.014
ctx-lh-rostralmiddlefrontal_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,0.141,0.101,0.02,0.017,-0.11,-0.077,-0.001,-0.087,0.088,-0.037,-0.034,-0.074,-0.022,-0.034,-0.017,0.027,0.018,-0.048,-0.026,0.083,-0.074,0.017,0.007,-0.065,-0.056,-0.072,-0.011,-0.022,0.033,-0.075,-0.002,-0.059,0.101,0.084,-0.01,-0.007,0.046,0.045,0.037,-0.008,-0.007,-0.028,-0.051,0.048,0.088,0.025,-0.03,0.01,-0.098,-0.093,-0.024,-0.03,0.109,-0.106,0.063,-0.008,0.009,0.192,0.134,-0.01,-0.1,-0.136,-0.1,-0.036,-0.008,0.038,-0.087,-0.073,-0.069,-0.0,-0.108,-0.082,-0.03
ctx-lh-rostralmiddlefrontal_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,0.064,0.076,0.05,-0.031,-0.001,0.149,0.021,0.026,0.099,-0.035,-0.043,-0.013,-0.03,0.125,0.049,-0.089,0.006,-0.076,0.091,-0.039,0.012,0.048,-0.187,-0.099,0.001,-0.053,-0.009,-0.076,-0.067,-0.026,0.037,-0.005,0.027,-0.034,0.047,0.013,0.022,0.035,-0.005,0.124,-0.023,0.024,0.009,0.076,-0.002,-0.005,-0.04,-0.089,0.017,0.035,0.018,0.058,-0.004,0.103,-0.019,-0.095,0.134,0.015,0.028,0.04,-0.059,-0.08,0.059,-0.028,-0.017,-0.057,0.003,-0.167,-0.035,-0.03,0.088,0.037
ctx-lh-superiorfrontal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,0.034,0.053,-0.093,-0.055,0.093,-0.053,-0.076,0.052,0.017,-0.056,-0.001,-0.121,0.046,0.039,-0.071,0.007,-0.021,0.109,-0.024,-0.03,0.042,-0.092,-0.116,-0.083,-0.046,-0.101,-0.113,-0.022,-0.002,-0.022,-0.044,-0.035,0.037,0.081,-0.04,-0.036,0.007,-0.133,-0.031,-0.097,0.031,-0.031,0.041,0.105,-0.077,-0.175,-0.088,0.002,-0.074,-0.086,-0.098,0.002,0.044,0.019,0.005,0.06,-0.063,0.003,0.006,-0.149,-0.119,-0.006,-0.112,0.051,0.033,0.017,-0.133,-0.094,-0.075,-0.009,0.032
ctx-lh-superiorfrontal_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,0.023,-0.027,-0.084,-0.041,-0.032,-0.049,0.065,-0.086,-0.095,-0.052,-0.066,0.02,0.012,-0.113,-0.118,-0.027,0.013,-0.084,-0.019,0.043,-0.09,-0.085,-0.146,-0.097,-0.039,0.006,-0.077,0.04,-0.082,-0.056,0.031,0.006,-0.017,0.072,0.068,-0.01,-0.061,-0.018,-0.069,-0.035,0.03,-0.036,0.061,-0.064,-0.075,-0.036,0.024,-0.088,-0.05,-0.02,-0.026,0.071,0.028,0.06,0.103,-0.056,-0.081,-0.028,-0.079,-0.108,-0.095,-0.079,0.064,-0.042,0.006,-0.061,-0.102,-0.018,0.021,-0.032
ctx-lh-superiorfrontal_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013,-0.06,-0.035,0.044,-0.049,-0.006,0.004,-0.039,0.027,-0.039,-0.039,0.037,0.007,-0.132,-0.063,-0.114,0.03,-0.112,-0.058,-0.005,-0.073,-0.008,-0.096,-0.104,-0.038,0.013,-0.068,-0.006,-0.003,-0.027,0.043,-0.018,0.01,0.099,0.097,0.005,-0.018,-0.04,-0.098,-0.075,-0.006,-0.023,0.016,-0.081,-0.116,-0.041,-0.041,-0.141,-0.123,0.029,0.015,0.091,0.017,0.054,0.089,0.051,-0.113,-0.077,-0.1,-0.052,-0.061,-0.095,-0.025,-0.035,-0.007,-0.04,-0.083,0.02,0.007,-0.024
ctx-lh-superiorfrontal_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.042,-0.098,-0.154,-0.007,-0.204,-0.131,-0.065,0.055,-0.139,-0.16,-0.061,-0.125,-0.005,0.057,-0.051,-0.109,-0.051,0.007,0.01,0.086,-0.065,-0.053,-0.09,0.068,-0.003,0.043,-0.08,-0.009,0.056,-0.025,-0.122,0.033,-0.025,-0.037,0.033,-0.058,-0.118,-0.058,0.109,0.018,-0.001,-0.116,-0.057,-0.054,-0.133,-0.154,-0.057,-0.008,0.038,0.078,0.111,0.166,0.134,0.156,0.026,-0.014,-0.103,-0.026,-0.084,-0.14,-0.018,-0.044,-0.195,0.01,0.037,-0.194,-0.138,-0.014
ctx-lh-superiorparietal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,-0.081,0.062,0.06,0.008,0.051,0.034,0.056,0.023,0.083,0.093,0.083,0.137,0.051,0.013,0.043,-0.011,0.045,0.035,0.014,-0.017,0.062,-0.049,-0.011,0.005,-0.047,-0.056,0.043,-0.018,-0.015,0.001,-0.027,0.03,0.01,0.042,-0.033,0.016,0.115,0.093,0.073,-0.014,0.038,0.056,0.024,-0.026,-0.021,0.004,0.038,-0.0,-0.014,0.009,-0.072,-0.044,0.087,0.07,-0.05,0.012,-0.028,-0.078,-0.017,-0.047,-0.034,-0.047,0.073,0.042,0.014,0.048,0.006
ctx-lh-superiorparietal_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027,0.124,0.085,0.049,0.093,0.053,0.026,0.114,0.109,0.042,0.032,0.117,-0.061,-0.025,0.02,-0.033,0.05,-0.043,0.026,-0.004,0.03,-0.032,0.025,-0.072,-0.084,0.007,0.09,0.043,-0.075,0.016,0.088,0.013,0.033,-0.017,0.002,0.056,-0.003,0.01,0.033,-0.062,0.104,0.131,0.034,0.037,0.097,0.074,0.07,0.007,0.002,-0.023,-0.05,0.041,0.133,0.052,-0.009,0.134,-0.013,-0.033,0.082,-0.063,-0.044,0.041,0.075,-0.015,0.147,0.112,0.035
ctx-lh-superiorparietal_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.019,-0.023,0.145,0.06,0.025,0.134,0.05,0.071,0.056,0.077,0.003,-0.017,0.099,-0.09,-0.058,0.114,0.086,-0.066,0.067,-0.1,0.031,-0.113,-0.141,-0.092,0.163,0.09,-0.096,0.032,0.054,-0.049,0.01,-0.029,0.031,0.001,0.075,0.111,0.038,-0.011,0.057,-0.007,0.221,0.031,0.086,-0.053,0.183,0.061,0.117,0.076,0.032,0.018,0.042,0.07,-0.065,0.037,-0.109,-0.107,0.068,-0.041,0.054,0.035,0.108,0.029,0.175,0.069,0.088
ctx-lh-superiortemporal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.087,0.007,-0.072,0.107,0.032,0.009,-0.087,-0.134,-0.082,-0.099,0.089,-0.031,-0.188,0.059,-0.04,0.034,0.145,0.079,-0.129,0.049,0.13,0.092,0.12,-0.018,-0.089,-0.066,0.054,-0.0,0.027,0.002,-0.12,-0.015,0.055,-0.008,-0.06,-0.075,-0.071,0.004,-0.109,-0.002,-0.038,-0.118,-0.056,0.013,0.042,0.068,0.019,0.023,-0.051,-0.07,-0.015,-0.079,-0.006,0.047,0.116,-0.001,-0.114,-0.152,-0.1,-0.057,0.123,-0.056,-0.121,-0.083,-0.153
ctx-lh-superiortemporal_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,-0.066,-0.07,0.048,-0.149,0.028,-0.003,-0.117,-0.044,-0.052,-0.007,-0.044,0.074,0.059,-0.06,-0.021,0.041,-0.137,0.035,0.067,0.08,0.148,-0.031,-0.038,-0.014,0.073,-0.014,-0.046,-0.022,-0.206,-0.061,0.067,0.059,-0.083,-0.097,-0.083,0.007,-0.024,0.044,-0.001,-0.101,-0.013,0.095,-0.05,0.021,-0.061,-0.065,-0.041,-0.156,-0.122,-0.055,0.042,0.014,0.039,0.006,-0.118,-0.015,-0.069,-0.011,0.026,-0.067,-0.082,-0.006,-0.047
ctx-lh-supramarginal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.091,-0.021,-0.088,-0.073,-0.057,0.077,0.036,0.14,0.002,-0.013,0.024,-0.032,0.049,0.052,0.042,0.023,0.009,0.025,0.082,0.1,0.021,0.011,-0.033,0.033,-0.082,0.018,-0.03,0.006,0.075,-0.13,-0.082,0.028,0.072,0.04,-0.03,-0.056,-0.024,-0.051,-0.154,-0.118,-0.036,0.009,-0.015,-0.01,0.021,-0.001,0.019,0.12,-0.043,-0.1,-0.128,-0.012,-0.041,-0.048,-0.075,-0.083,-0.185,0.1,0.02,-0.115,-0.062,-0.039
